País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido
,,,Wisc. Green Bay W vs Detroit Titans W,81-57,Finished,https://www.flashscore.com/match/basketball/detroit-titans-truNSwM8/wisc-green-bay-rLZGRRd2/?mid=dzPVDYXi
,,,Alabama W vs Missouri Tigers W,65-48,Finished,https://www.flashscore.com/match/basketball/alabama-crimson-tide-t4psaZKE/missouri-tigers-Grv2iCNn/?mid=prQOmLnC
,,,Oregon W vs Purdue W,82-64,Finished,https://www.flashscore.com/match/basketball/oregon-ducks-OnQoalw5/purdue-boilermakers-n7d47zgo/?mid=xIMGksIa
,,,Kansas W vs UCF W,56-35,Finished,https://www.flashscore.com/match/basketball/kansas-jayhawks-ncPa0QM2/ucf-knights-Mq3iyHAH/?mid=jshdVCWp
,,,UNLV Lady Rebels W vs Boise State W,76-47,Finished,https://www.flashscore.com/match/basketball/boise-state-lvTtZGVJ/unlv-lady-rebels-nHn04LVI/?mid=0nLjOXCN
,,,Chattanooga Mocs W vs Western Carolina W,66-47,Finished,https://www.flashscore.com/match/basketball/chattanooga-mocs-KxJ0athL/western-carolina-ERBs5rqJ/?mid=dSn3OG4m
,,,Fairleigh Dickinson W vs St. Francis (PA) W,61-39,Finished,https://www.flashscore.com/match/basketball/fairleigh-dickinson-pGsxruUP/st-francis-pa-SCngK8DU/?mid=SYvI1YHq
,,,Georgia W vs Kentucky W,61-76,Finished,https://www.flashscore.com/match/basketball/georgia-bulldogs-6DKnQwIr/kentucky-wildcats-dlCywsHm/?mid=jBT8lpuI
,,,Loyola Chicago W vs St. Bonaventure W,61-59,Finished,https://www.flashscore.com/match/basketball/loyola-chicago-WvCMQctm/st-bonaventure-p22bYM00/?mid=UuoBMfZa
,,,Virginia Cavaliers W vs Clemson W,50-63,Finished,https://www.flashscore.com/match/basketball/clemson-tigers-UoOBK3W0/virginia-cavaliers-ERaDYUYj/?mid=ryurgGOi
,,,High Point W vs South Carolina Upstate W,71-53,Finished,https://www.flashscore.com/match/basketball/high-point-M7wheDlF/south-carolina-upstate-spartans-6ir9qSHd/?mid=r9hx7f0T
,,,Eastern Kentucky W vs Austin Peay W,41-45,Finished,https://www.flashscore.com/match/basketball/austin-peay-0fUpzCCk/eastern-kentucky-QugGusRj/?mid=n3zCqSS1
,,,Manhattan W vs Marist W,64-55,Finished,https://www.flashscore.com/match/basketball/manhattan-ba9lWhyM/marist-red-foxes-0UpBDFOt/?mid=x6lJKY3C
,,,Texas Tech W vs Kansas State W,51-58,Finished,https://www.flashscore.com/match/basketball/kansas-state-wildcats-fsNeA5V7/texas-tech-jJFRZNji/?mid=2k5u4riI
,,,Washington W vs USC Trojans W,76-64,Finished,https://www.flashscore.com/match/basketball/usc-trojans-I3ARpFeN/washington-huskies-2H50wfL6/?mid=Uiwjifg4
,,,Texas State Bobcats W vs South Alabama W,59-69,Finished,https://www.flashscore.com/match/basketball/south-alabama-UJkysxMs/texas-state-bobcats-Stp3mEJS/?mid=WOule8Pp
,,,South Dakota State Jackrabbits W vs UMKC W,75-61,Finished,https://www.flashscore.com/match/basketball/south-dakota-state-jackrabbits-QoqsK0uC/umkc-O0dD8E5F/?mid=r3iRICYO
,,,East Tennessee St W vs UNC Greensboro W,62-50,Finished,https://www.flashscore.com/match/basketball/east-ten-state-EZpNPZ1e/unc-greensboro-djRXoPub/?mid=bFRzwGJt
,,,Morehead State W vs SE Missouri State W,55-60,Finished,https://www.flashscore.com/match/basketball/morehead-state-Gj6TayaR/se-missouri-state-nJWN7XDf/?mid=bVXZIBHi
,,,Notre Dame W vs Miami Hurricanes W,69-54,Finished,https://www.flashscore.com/match/basketball/miami-hurricanes-lQmJs8DI/notre-dame-rcSHvzGg/?mid=OORGnO9U
,,,Oklahoma Sooners W vs Florida Gators W,82-64,Finished,https://www.flashscore.com/match/basketball/florida-gators-SjFeaaPQ/oklahoma-sooners-65GboNQS/?mid=WrWsHkn4
,,,Saint Josephs Hawks W vs Duquesne W,66-45,Finished,https://www.flashscore.com/match/basketball/duquesne-r5QqV4xA/saint-josephs-hawks-8CHASC83/?mid=AF8m2MLU
,,,Gardner Webb W vs Winthrop W,52-64,Finished,https://www.flashscore.com/match/basketball/gardner-webb-runnin-bulldogs-lhIAKUfi/winthrop-eagles-Gjv3gMmm/?mid=6uVryflg
,,,N. Carolina Central W vs South Carolina State W,67-41,Finished,https://www.flashscore.com/match/basketball/n-carolina-central-Iy8IRwRt/south-carolina-state-EBRmMXG7/?mid=tIWjIaoQ
,,,Ohio State W vs Indiana W,83-59,Finished,https://www.flashscore.com/match/basketball/indiana-hoosiers-t6lrbnlm/ohio-state-buckeyes-AmhR6GWg/?mid=vuv81YNj
,,,Sacred Heart Pioneers W vs St. Peters W,47-34,Finished,https://www.flashscore.com/match/basketball/sacred-heart-pioneers-2u2EMfjG/st-peters-bTrQKEme/?mid=E5YjZXI5
,,,Stetson W vs Florida Gulf Coast W,70-63,Finished,https://www.flashscore.com/match/basketball/florida-gulf-coast-0YprfRU0/stetson-6itrbksI/?mid=0Av8t6AF
,,,Utah Utes W vs BYU W,52-70,Finished,https://www.flashscore.com/match/basketball/byu-cougars-pIo6dbcU/utah-utes-fHHkDgJ5/?mid=rHYym5YG
